id,category,topic,title,question,answer,keywords,source,url
229,"Agriculture,Rural & Environment",WBCISM,Weather Based Crop Insurance Scheme,What is Weather Based Crop Insurance Scheme?,The scheme aims to provide crop insurance protection to farmers against weather-related risks under the Pradhan Mantri Fasal Bima Yojana. It ensures financial support to farmers affected by adverse weather conditions.,"Crop Insurance, Weather Risk, Farmer, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/wbcism
230,"Agriculture,Rural & Environment",AS-SMP,Annapurna Scheme: Seed Multiplication Programme,What is Annapurna Scheme: Seed Multiplication Programme?,The scheme aims to enhance the economic status and productivity of SC/ST farmers by providing high-quality Breeder or Certified I grade seeds for seed production. Beneficiaries receive a 75% subsidy on the cost of the seed for up to 1 hectare of land.,"Agriculture, Seed, Farmer, Subsidy, Crop, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/as-smp
231,"Agriculture,Rural & Environment",SFPPCCHC,Scheme for Promotion of Protected Cultivation of Commercial Horticultural Crops,What is Scheme for Promotion of Protected Cultivation of Commercial Horticultural Crops?,"The scheme aims to promote the protected cultivation of commercial horticultural crops by providing financial assistance to farmers. The scheme supports greenhouse, shade net, low tunnel, plastic mulching, bird/hail net, and cultivation of vegetables and flowers under polyhouse/shade net house.","Protected Cultivation, Greenhouse, Shade Net, Polyhouse, Plastic Mulching, Horticulture, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/sfppcchc
232,"Agriculture,Rural & Environment",IVDP,Integrated Vegetable Development Program,What is Integrated Vegetable Development Program?,The scheme aims to increase vegetable production in all district headquarters and within a 20 km radius of industrial establishments in Madhya Pradesh through integrated vegetable development.,"Vegetable Production, Hybrid Seeds, Seed Treatment, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/ivdp
233,"Agriculture,Rural & Environment",GGY-GOA,Gomantak Govsamvardhan Yojana,What is Gomantak Govsamvardhan Yojana?,The scheme aims to support the conservation and rearing of Local Breeds of Cattle in the State of Goa. It provides financial assistance of ₹80/- per animal per day to Dairy Farmers or Individuals who are bonafide residents of Goa to encourage responsible stall feeding and conservation practices.,"Cattle, Farmer, Subsidy, Animal, Vaccination, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/ggy-goa
234,"Agriculture,Rural & Environment",SSPHP,"Simplification of Sale Process of Herbal Products - Herbal Research and Development Institute, Uttarakhand","What is Simplification of Sale Process of Herbal Products - Herbal Research and Development Institute, Uttarakhand?","The scheme aims to simplify the sale process of medicinal and aromatic products produced by cultivators, enabling them to legally and easily sell their produce through authorized markets or buyers.","Herbal Products, Herbs, Marketing, Cultivator Of Medicinal Plants, Cultivator Of Aromatic Plants, Sale Process, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/sephp
235,"Agriculture,Rural & Environment",CAPMGNREGA,Cultivation of Aromatic Plants under MGNREGA - Centre for Aromatic Plants,What is Cultivation of Aromatic Plants under MGNREGA - Centre for Aromatic Plants?,"The scheme aims to encourage farmers in rural areas to grow aromatic plants by providing them free planting material, technical help, and wage support through MGNREGA.","Aromatic, Farmer, Aromatic Plants, Cultivation, MGNREGA, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/capmgnrega
236,"Agriculture,Rural & Environment",BK,Bee Keeping,What is Bee Keeping?,"The scheme aims to promote beekeeping as a sustainable livelihood by providing subsidized bee boxes, bee colonies, and training support to farmers, thereby increasing honey production, enhancing farm income, and strengthening the beekeeping sector in Uttarakhand.","Bee, Bee Colonies, Bee Boxes, Subsidy, Honey Bees, Agriculture,Rural & Environment, Business & Entrepreneurship",State,https://www.myscheme.gov.in/schemes/bk
237,"Agriculture,Rural & Environment",STSCSP,Scheduled Tribe/Scheduled Caste Subplan,What is Scheduled Tribe/Scheduled Caste Subplan?,The scheme aims to promote fish farming as a sustainable livelihood opportunity among individuals and groups belonging to the Scheduled Castes and Scheduled Tribes.,"Financial Assistance, Construction Of Ponds, Fish Production, Scheduled Tribe, Pond Clusters, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/stscss
238,"Agriculture,Rural & Environment",SSRPPES,Sugarcane Seed Replacement Programme / Production Enhancement Scheme,What is Sugarcane Seed Replacement Programme / Production Enhancement Scheme?,"The scheme aims to increase sugarcane productivity & improve sugar recovery by promoting cultivation of high-quality, high-yielding, & newly developed sugarcane varieties, while providing farmers with financial support, modern cultivation techniques, & access to advanced agricultural technology.","Sugarcane, Sugar, Sugarcane Seed, Farmer, Sugarcane Seed Replacement, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/ssrppes
239,"Agriculture,Rural & Environment",SFPK,Sthaniya Fasal Protsahan Karyakram,What is Sthaniya Fasal Protsahan Karyakram?,"The program aims to promote the cultivation of local crops, enhance productivity, ensure the use of quality seeds, and provide fair prices to farmers in the mountain districts of Uttarakhand.","Farmer, Local Crop, Agriculture, Seed Production, Subsidy On Seed, Crop Promotion Program, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/sfpk
240,"Agriculture,Rural & Environment",AHASMF,Animal Husbandry: Assistance to Small and Marginal Farmers,What is Animal Husbandry: Assistance to Small and Marginal Farmers?,"The scheme aims to provide financial assistance to small and marginal farmers for the replacement of productive livestock lost due to notified natural disasters such as floods, landslides, or other calamities.","Small Farmer, Marginal Farmer, Natural Disaster, Livestock, Animal Husbandry, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/ahsmfuk
241,"Agriculture,Rural & Environment",BPY,Bhed Palan Yojana,What is Bhed Palan Yojana?,"The scheme aims to promote sheep rearing as a source of self-employment and livelihood generation for eligible beneficiaries, particularly from SECC categories, by providing financial support for rearing a sheep unit.","Sheep Rearing, Sheep, Scheduled Caste, Scheduled Tribe, Self-employment, Subsidy, Agriculture,Rural & Environment, Business & Entrepreneurship",State,https://www.myscheme.gov.in/schemes/bpy
242,"Agriculture,Rural & Environment",MSPUK,Mushroom Production,What is Mushroom Production?,"The scheme aims to promote and support mushroom cultivation in the state by providing financial assistance and subsidies for establishing mushroom, compost, and spawn production units, thereby enhancing both farmer income and overall mushroom production in Uttarakhand.","Mushroom, Subsidy, Farmer, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/fsf
243,"Agriculture,Rural & Environment",SFGUK,Scheme for Fencing in Gardens,What is Scheme for Fencing in Gardens?,"The scheme aims to protect fruit plants, horticultural crops, and orchards from wild animals by providing financial assistance for fencing.","Fencing, Garden, Subsidy, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/sfguk
244,"Agriculture,Rural & Environment",IFSPIFTFCGUJ,To Increase Fish Seed Production and Inland Fisheries Resources in Tribal Areas: Fish Cage Culture - Gujarat,What is To Increase Fish Seed Production and Inland Fisheries Resources in Tribal Areas: Fish Cage Culture - Gujarat?,The scheme aims to increase fish production and provide employment through reservoir-based inland fisheries. It offers financial assistance to Scheduled Tribe fishermen.,"Fish, Fish Activities, Fish Production, Scheduled Tribes, Fishermen, Fish Cage Culture, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/ifspiftfcguj
245,"Agriculture,Rural & Environment",PFSPFSRWGUJ,To Increase Fish Seed Production and Inland Fisheries Resources in Tribal Areas: Fish Seed Rearing by Women - Gujarat,What is To Increase Fish Seed Production and Inland Fisheries Resources in Tribal Areas: Fish Seed Rearing by Women - Gujarat?,"The scheme aims to increase fish production through inland fisheries and provide employment opportunities, particularly to Scheduled Tribe women engaged in fish seed rearing.","Fish, Fish Activities, Fish Production, Scheduled Tribes, Fisherman, Self-Employment, Agriculture,Rural & Environment, Women and Child",State,https://www.myscheme.gov.in/schemes/pfspfsrwguj
246,"Agriculture,Rural & Environment",AOBOFPK,Assistance to OBM Boat Owner Fishermen on Purchase of Kerosene/Petrol,What is Assistance to OBM Boat Owner Fishermen on Purchase of Kerosene/Petrol?,The scheme aims to provide financial assistance to fishermen owning small boats with Outboard Motors (OBM) by subsidizing the cost of kerosene or petrol.,"Agriculture, Fishing Activities, Fishermen, Boat Owner, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/aobofpk
247,"Agriculture,Rural & Environment",MAWS,Meghalaya Agriculture Warehouse Scheme ,What is Meghalaya Agriculture Warehouse Scheme?,"The scheme reduces post-harvest losses and supports farmers by providing loans and subsidies to build small, weatherproof warehouses for safe storage and better marketing of crops.","Agriculture, Warehouses, Farmer, Farming, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/maws
248,"Agriculture,Rural & Environment",FOCUSS,FOCUS Scheme (Farmers Collectivization For Upscaling Production and Marketing System),What is FOCUS Scheme (Farmers Collectivization For Upscaling Production and Marketing System)?,"The objective of the FOCUS Scheme is to strengthen farmer groups, increase production, and improve market access to enhance farmers’ income.","Farmers, Farming, Agriculture, DBT, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/focuss
249,"Agriculture,Rural & Environment",CWSDI,Construction of Water Storage Tanks for Drip Irrigation,What is Construction of Water Storage Tanks for Drip Irrigation?,"The scheme provides financial assistance to farmers across Gujarat for constructing water storage tanks to support drip irrigation, with cost-sharing benefits based on farmer category.","Agriculture, Drip Irrigation, Farmer, Water Tank, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/cwsdi
250,"Agriculture,Rural & Environment",APNFUSCST,Assistance to Farmers in Purchasing Nano Fertilizers Under the Agricultural Assistance Program for Farmers Other than Scheduled Castes and Scheduled Tribes,What is Assistance to Farmers in Purchasing Nano Fertilizers Under the Agricultural Assistance Program for Farmers Other than Scheduled Castes and Scheduled Tribes?,"This scheme offers financial assistance to farmers from non-SC/ST categories to support the purchase of Nano Fertilizers, aiming to enhance agricultural productivity and uplift the standard of living of farmers in Gujarat.","Agriculture, Nano Fertilizers, Farmer, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/apnfuscst
251,"Agriculture,Rural & Environment",SCSP-EWSCF,Scheduled Caste Sub Plan (SCSP): Electrification of Wells of Scheduled Caste Farmers,What is Scheduled Caste Sub Plan (SCSP): Electrification of Wells of Scheduled Caste Farmers?,The scheme aims to provide agricultural electricity connections on a priority basis to Scheduled Caste farmers. Benefits include electrification of wells and free domestic electricity connections for Scheduled Caste farmers and beneficiaries across Gujarat.,"Farmer, Scheduled Caste, Electricity, Agriculture, Rural, Agriculture,Rural & Environment, Utility & Sanitation",State,https://www.myscheme.gov.in/schemes/scsp-ewscf
252,"Agriculture,Rural & Environment",NGRA,National Gopal Ratna Award,What is National Gopal Ratna Award?,"The scheme aims to promote scientific dairy practices and AI coverage. It provides awards, recognition, and monetary incentives to farmers, dairy organizations, and AI technicians.","Dairy Farmer, Milk, Award, AI Technicians, Dairy Organizations, Monetary Incentive, Agriculture,Rural & Environment","Ministry of Fisheries,Animal Husbandry and Dairying",https://www.myscheme.gov.in/schemes/ngra
253,"Agriculture,Rural & Environment",CDPNER:WA,Coffee Development Programme in North Eastern Region: Water Augmentation,What is Coffee Development Programme in North Eastern Region: Water Augmentation?,"The scheme ""Coffee Development Programme in North Eastern Region: Water Augmentation"" aims to improve the productivity and quality of coffee by facilitating the creation of infrastructure for water augmentation for irrigation and wet processing of coffee.","Agriculture, Farmer, Subsidy, DBT, Agriculture,Rural & Environment",Ministry Of Commerce And Industry,https://www.myscheme.gov.in/schemes/cdpnerwa
254,"Agriculture,Rural & Environment",ISFEPQIISARADOCEOPLCRNP,Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom: Export Oriented Production:Large Cardamom Replanting/New planting (Ha),What is Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom: Export Oriented Production:Large Cardamom Replanting/New planting (Ha)?,"Under this scheme, growers are encouraged to adopt systematic replanting of large cardamom using high-yielding, disease-free planting materials. It aims to increase productivity, improve quality, and enhance export competitiveness under the Spices Board of India.","Agriculture, Farming, Farmer, Subsidy, Agriculture,Rural & Environment",Ministry Of Commerce And Industry,https://www.myscheme.gov.in/schemes/isfepqiisaradoceoplcrnp
255,"Agriculture,Rural & Environment",MARVS,Meghalaya Agriculture Response Vehicle Scheme,What is Meghalaya Agriculture Response Vehicle Scheme?,"The scheme “Meghalaya Agriculture Response Vehicle Scheme” was launched by the Department of Agriculture & Farmers’ Welfare, Government of Meghalaya to provide Small Commercial Vehicles and pickups at each CD Block across Meghalaya with 50% financial aid from the Government of Meghalaya.","Agriculture, Response Vehicle, Farmer, Financial Aid, Farmers Associations, Entrepreneur, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/marvs
256,"Agriculture,Rural & Environment",ICROAIP,ICRO Amrit Internship Programme,What is ICRO Amrit Internship Programme?,"The IPL Centre for Rural Outreach (ICRO) has launched ICRO Amrit Internship Programme focused on youth productivity for prosperity. The interns will be placed at the headquarters and Regional Offices of NPC/ IPL. The duration of the internship will be 3 months initially, renewable up to four times.","Internship, Student, Youth Productivity, Stipend, Agriculture,Rural & Environment, Education & Learning, Social welfare & Empowerment",Ministry Of Chemicals And Fertilizers,https://www.myscheme.gov.in/schemes/icroaip
257,"Agriculture,Rural & Environment",ISFEPQIISAR,Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom:Large cardamom Irrigation Land Development : Irrigation / water storage structures(nos),What is Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom:Large cardamom Irrigation Land Development : Irrigation / water storage structures(nos)?,"The scheme aims to motivate the growers to bring more area under irrigation by constructing water storage structures, rain water harvesting structures and installation of irrigation equipments for increasing the productivity and improving quality of large cardamom.","Agriculture, Farmer, Farming, Water Storage Structures, Subsidy, Agriculture,Rural & Environment",Ministry Of Commerce And Industry,https://www.myscheme.gov.in/schemes/isfepqiisar
258,"Agriculture,Rural & Environment",SSDU,Establishment Of Small Scale Dairy Unit (SSDU),What is Establishment Of Small Scale Dairy Unit (SSDU)?,"The scheme aims to support the establishment of dairy units with 10 Gir cows. Through this scheme, capital subsidy and back-ended subsidy are provided to beneficiaries via bank finance and NABARD.","Dairy Development, Milch Cow, Insurance Coverage, Cattle Shed, Equipment, Procurement Of Feed, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/ssdu
259,"Agriculture,Rural & Environment",POESOISINCOLTHA,Promotion of Exportable surplus of identified spices in NE: Cultivation of Lakadong turmeric (Ha) ,What is Promotion of Exportable surplus of identified spices in NE: Cultivation of Lakadong turmeric (Ha)?,"To promote the cultivation of Lakadong turmeric for exports by providing 50% of the cost of planting material, subject to a maximum of ₹ 30,000 per Ha, to turmeric growers of the North East having land holding size of 0.10 Ha to 8 Ha.","Lakadong Turmeric, Farmer, Farming, Agriculture, Agriculture,Rural & Environment",Ministry Of Commerce And Industry,https://www.myscheme.gov.in/schemes/poesoisincoltha
260,"Agriculture,Rural & Environment",AC&ABC,Agri-Clinics And Agri-Business Centres Scheme,What is Agri-Clinics And Agri-Business Centres Scheme?,"A welfare scheme by the Ministry of Agriculture and Farmers' Welfare was launched in 2002. AC&ABC aims at agricultural development, supplementing the efforts of public extension by providing extension and other services to farmers either on a payment basis or free of cost as per the business model.","Business, Entrepreneur, Student, Training, Agriculture, Employment, Agriculture,Rural & Environment, Business & Entrepreneurship, Skills & Employment",Ministry Of Agriculture and Farmers Welfare,https://www.myscheme.gov.in/schemes/acandabc
261,"Agriculture,Rural & Environment",SLSMF,Scheme for Loan and Subsidy for Manure and Fertilizer-DNH&DD,What is Scheme for Loan and Subsidy for Manure and Fertilizer-DNH&DD?,The scheme aims to promote fertiliser use for higher productivity. Subsidy-cum-loan assistance is provided in kind to small and marginal farmers.,"Cultivator, Farmer, Subsidy, Loan, Small Farmers, Marginal Farmers, Scheduled Castes, Scheduled Tribes, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/slsmf
262,"Agriculture,Rural & Environment",NMNF,National Mission on Natural Farming,What is National Mission on Natural Farming?,"The scheme aims to promote natural farming practices through capacity building, training, certification, and financial assistance for on-farm input production infrastructure, thereby reducing cultivation costs and increasing farmers' income.","Natural Farming, Agro Ecology, Chemical-free Farming, Agriculture,Rural & Environment",Ministry Of Agriculture and Farmers Welfare,https://www.myscheme.gov.in/schemes/nmnf
263,"Agriculture,Rural & Environment",ISFEPQIISARADOCRSSOSS,Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom: Reintroduced subcomponents:Supply of Silpaulin Sheets (nos),What is Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom: Reintroduced subcomponents:Supply of Silpaulin Sheets (nos)?,"The objective of the scheme is to encourage spice growers to adopt hygienic drying practices by using Silpaulin Sheets, thereby improving the quality of spices.","Agriculture, Spices Growers, Farmer, Farming, Agriculture,Rural & Environment",Ministry Of Commerce And Industry,https://www.myscheme.gov.in/schemes/isfepqiisaradocrssoss
264,"Agriculture,Rural & Environment",ISFEPQISARADOCNSFFREISHFIT,Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom: New Subcomponents:FRESH-IT (Farmer’s Research & Enterprise in Spice Holdings for Innovative Technology),What is Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom: New Subcomponents:FRESH-IT (Farmer’s Research & Enterprise in Spice Holdings for Innovative Technology)?,"To encourage spice farmers to adopt innovative technologies and develop improved spice varieties and cost-effective post-harvest machinery to enhance the production, productivity, and quality of spices.","Farming, Farmer, Enterprise, Technology, Agriculture,Rural & Environment, Business & Entrepreneurship, Banking,Financial Services and Insurance",Ministry Of Commerce And Industry,https://www.myscheme.gov.in/schemes/isfepqisaradocnsffreishfit
265,"Agriculture,Rural & Environment",ISFEPQISARADOCNSWBISFSC,Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom: New Subcomponents:Weather Based Insurance Scheme for small cardamom,What is Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom: New Subcomponents:Weather Based Insurance Scheme for small cardamom?,"To protect small cardamom growers against the adverse weather incidences such as deficit or excess rainfall, heat (temperature), relative humidity, etc. which are deemed to adversely affect the production.","Agricultural, Farmer, Small Cardamom, Weather Based, Agriculture,Rural & Environment",Ministry Of Commerce And Industry,https://www.myscheme.gov.in/schemes/isfepqisaradocnswbisfsc
266,"Agriculture,Rural & Environment",ISPIMSFSC,Implementation of Scheme for Providing Implements/Machinery on Subsidy to the Farmers of Scheduled Caste Category (SB-89),What is Implementation of Scheme for Providing Implements/Machinery on Subsidy to the Farmers of Scheduled Caste Category (SB-89)?,"The scheme aims to improve agricultural mechanization among scheduled caste farmers, enhance farm income, and enable them to access other mechanization schemes that require tractor ownership.","Subsidy, Farmer, Scheduled Caste, Tractor, Machinery, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/ispimsfsc
267,"Agriculture,Rural & Environment",Feed The Seed,Feed The Seed,What is Feed The Seed?,"The ""Feed for Seed"" program is an initiative launched by the Government of Telangana in India, aimed at promoting agriculture and supporting farmers in the state. The program is designed to encourage farmers to produce their own seeds by providing them with free, high-quality seeds of various crops.","Feed For Seed, Seed Village, State Seed Development Corporation, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/feed-the-seed
268,"Agriculture,Rural & Environment",IARIS,Indian Agricultural Research Institute - Scholarship,What is Indian Agricultural Research Institute - Scholarship?,The Indian Agricultural Research Institute (IARI) Junior and Senior Scholarship shall be awarded to M.Sc. and Ph.D. students admitted under General Open Competition Scheme.,"IARI, Scholarship, Education, PhD, Agriculture,Rural & Environment, Education & Learning",Ministry Of Agriculture and Farmers Welfare,https://www.myscheme.gov.in/schemes/iaris
269,"Agriculture,Rural & Environment",KALIA,Krushak Assistance For Livelihood And Income Augmentation,What is Krushak Assistance For Livelihood And Income Augmentation?,"Through the implementation of Krushak Assistance for Livelihood and Income Augmentation - KALIA Scheme , the State Government aims to lend farmers with an all inclusive and flexible support system, ensuring accelerated agricultural prosperity.","KALIA, Farmers, Cultivators, Financial Assistance, Agriculture, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/kalia
270,"Agriculture,Rural & Environment",KVDGSSY,Karma Veer Dadasaheb Gaikwad Sabalikaran & Swabhiman Yojana,What is Karma Veer Dadasaheb Gaikwad Sabalikaran & Swabhiman Yojana?,"The main objective of this scheme is to improve the financial condition of the scheduled castes and Nav-Buddhists who are landless workers and are from ""Below Poverty Line"". Only citizens who are permanent residents of Maharashtra are eligible. This scheme is 100% funded by the State Govt.","Loan, Subsidy, Below Poverty Line, Scheduled Caste, Financial Assistance, Agriculture,Rural & Environment, Banking,Financial Services and Insurance, Social welfare & Empowerment",State,https://www.myscheme.gov.in/schemes/kvdgssy
271,"Agriculture,Rural & Environment",CM-SKY,Chief Minister’s Shasakt Kisan Yojana,What is Chief Minister’s Shasakt Kisan Yojana?,"The Govt. of Arunachal Pradesh started the scheme “Chief Minister’s Shasakt Kisan Yojana (CM-SKY)” for uplifting the status of women, marginal and small farmers of the State for self-employment generation & commercialization of Horticulture activities to double their income.","Farmer, Horticulture, Self-employment, Tea, Rubber, Financial Assistance, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/cm-sky
272,"Agriculture,Rural & Environment",GNY,Godhan Nyay Yojana,What is Godhan Nyay Yojana?,"Godhan Nyay Yojana is a scheme launched by the Government of Chhattisgarh on 20 July 2020. Under this scheme, cow dung will be purchased by the state government from the cattle-rearing farmers.","Cattle Herders, New Employment, Cow Protection, Organic Fertilizers, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/gny
273,"Agriculture,Rural & Environment",MTC,Motorisation Of Traditional Crafts,What is Motorisation Of Traditional Crafts?,"The scheme “Motorisation of Traditional Crafts” was launched by the Department of Fisheries & Animal Resources Development, Government of Odisha to increase the income and livelihoods of traditional fishermen by motorizing their traditional non-motorized crafts.","Fishermen, Fish, Crafts, Financial Assistance, Boat, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/mtc
274,"Agriculture,Rural & Environment",LSMFDFBP,Livelihood Support To Marine Fishermen During Fishing Ban Period,What is Livelihood Support To Marine Fishermen During Fishing Ban Period?,"Livelihood Support to Marine Fishermen during the Fishing Ban Period scheme under the Department of Fisheries & Animal Resources Development, Government of Odisha aims to support the livelihood of marine fisher families.","Fishermen, Livelihood, Financial Assistance, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/lsmfdfbp
275,"Agriculture,Rural & Environment",CMKRY,Chief Minister's Krishi Rinn Yojana,What is Chief Minister's Krishi Rinn Yojana?,The Government of Arunachal Pradesh has introduced The Chief Minister's Krishi Rinn Yojana (CMKRY) with the aim of providing a zero interest crop loan facility to farmers of the state to enable them easy access to formal credit through banking channels.,"Farmers, Crop Loan, Zero Interest, Agriculture,Rural & Environment, Banking,Financial Services and Insurance",State,https://www.myscheme.gov.in/schemes/cmkry
276,Social welfare & Empowerment,OMPS,Opening And Maintenance Of Public School (Vidya Niketan) For Vimukta Jatis And Nomadic Tribes,What is Opening And Maintenance Of Public School (Vidya Niketan) For Vimukta Jatis And Nomadic Tribes?,"The Government of Maharashtra has introduced a scheme ""Opening And Maintenance Of Public School (Vidya Niketan) For Vimukta Jatis And Nomadic Tribes"" to voluntary organizations to run the Public School (Vidya Niketan) on a grant-in-aid basis.","Vidya Niketan, Education, Public School, Vimukta Jatis And Nomadic Tribes, Social welfare & Empowerment, Education & Learning, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/omps
277,"Agriculture,Rural & Environment",HKPY,Him Kukkut Palan Yojna,What is Him Kukkut Palan Yojna?,"The scheme “Him Kukkut Palan Yojna” was launched by the Department of Animal Husbandry, Government of Himachal Pradesh to provide the subsidy to the entrepreneurs/farmers who are interested and engaged in poultry farming in the state.","Farmer, Poultry Farming, Subsidy, Self Employment, Agriculture,Rural & Environment, Business & Entrepreneurship",State,https://www.myscheme.gov.in/schemes/hkpy
278,"Agriculture,Rural & Environment",PIATIBFT,Promotion Of Intensive Aquaculture Through Introduction Of Bio-floc Technology During The Year 2021-22,What is Promotion Of Intensive Aquaculture Through Introduction Of Bio-floc Technology During The Year 2021-22?,The government of Odisha introduced Bio-floc-based farming and aims to promote sustainable intensification of freshwater fish and brackish water shrimp farming for boosting productivity and generating high income in a limited area.,"Bio-Floc, Farming, Fish, Shrimp, Odisha, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/piatibft
279,"Agriculture,Rural & Environment",PMKSY:PDMC,Pradhan Mantri Krishi Sinchayee Yojana: Per Drop More Crop,What is Pradhan Mantri Krishi Sinchayee Yojana: Per Drop More Crop?,"The scheme “Pradhan Mantri Krishi Sinchayee Yojana: Per Drop More Crop” was launched by the Dept. of Agriculture & Farmers Welfare, Ministry of Agriculture & Farmers Welfare, Govt. of India on 1st July 2015. The scheme mainly focuses on water use efficiency at farm level through Micro Irrigation.","Agriculture, Crop, Farmer, Irrigation, Water Harvesting, Water Management, Agriculture,Rural & Environment",Ministry Of Agriculture and Farmers Welfare,https://www.myscheme.gov.in/schemes/pmksypdmc
280,"Agriculture,Rural & Environment",AGR2(FM)SFOTSCST,AGR 2 (Farm Mechanization) Scheme Of Farmers Other Than SC/ST,What is AGR 2 (Farm Mechanization) Scheme Of Farmers Other Than SC/ST?,"The scheme “AGR 2 (Farm Mechanization) Scheme of Farmers Other Than SC/ST” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.","Farmer, Agriculture, Equipment, Mechanization, Financial Assistance, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/agr2fmsfotscst
281,"Agriculture,Rural & Environment",SSEG10SCP,Subsidy Scheme For Establishment Of Goat Unit (10+1) For Scheduled Caste People,What is Subsidy Scheme For Establishment Of Goat Unit (10+1) For Scheduled Caste People?,"The scheme “Subsidy Scheme for Establishment of Goat Unit (10+1) for Scheduled Caste People” was launched by the Dept. of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to uplift economically poor livestock breeders of Gujarat State.","Scheduled Caste, Goat, Subsidy, Milk Production, Employment, Agriculture,Rural & Environment, Business & Entrepreneurship",State,https://www.myscheme.gov.in/schemes/sseg10scp
282,"Agriculture,Rural & Environment",SSST-PTS,Stipend Scheme For Scheduled Tribes - Poultry Training Stipend,What is Stipend Scheme For Scheduled Tribes - Poultry Training Stipend?,"The scheme “Stipend Scheme for Scheduled Tribes - Poultry Training Stipend” was launched by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to raise the income of poultry farmers of Schedule Tribes through scientific poultry farming training.","Poultry Farming, Scheduled Tribe, Stipend, Training, Cash Assistance, Agriculture,Rural & Environment, Skills & Employment",State,https://www.myscheme.gov.in/schemes/ssst-pts
283,"Agriculture,Rural & Environment",GRAS,Gopal Ratna Award Scheme,What is Gopal Ratna Award Scheme?,"""Gopal Ratna Award Scheme"" intends to appreciate the achievement of Dairy Farmers for the highest individual milk production by undertaking scientific Dairy Farming in the State of Goa and encouraging youth to take up the Dairy Business.","Milk, Animal, Husbandry, Award, Farming, Dairy, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/gras
284,"Agriculture,Rural & Environment",FAMCOFG,Financial Assistance to Mussel Culture and Oyster Farming in Goa,What is Financial Assistance to Mussel Culture and Oyster Farming in Goa?,"“Financial Assistance to Mussel Culture and Oyster Farming in Goa” is a scheme by the Dept. of Fisheries, Govt. of Goa. Through this scheme, financial assistance is provided to eligible fishermen for setting up units in estuarine waters, and in open sea. Only offline applications are accepted.","Fishermen, Fish, Aquaculture, Subsidy, Financial Assistance, Agriculture,Rural & Environment",State,https://www.myscheme.gov.in/schemes/famcofg
